Score,Review length
0.6908,14
0.4404,16
0.2263,19
0.7677,20
-0.1531,20
0.4416,21
-0.3241,21
0.9074,22
0.541,23
0.9525,24
-0.25,24
0.9176,24
0.8225,25
0.8779,25
0.6369,27
-0.2023,28
0.9529,28
-0.0258,28
0.7096,31
0.2144,31
0.872,31
0.8591,32
0.7184,32
0.0,32
0.8271,35
0.5606,35
0.2593,35
0.8316,36
0.841,36
0.8126,36
0.7769,37
0.7852,37
0.4939,38
0.6249,39
0.8832,41
0.3818,42
0.9756,43
0.9022,43
0.3536,43
0.9062,43
0.6605,44
0.2023,45
0.9127,46
0.9042,47
0.3182,47
-0.0008,48
-0.1464,48
0.9423,49
0.7351,49
0.9001,50
0.765,50
0.9571,50
0.7163,50
0.9463,53
0.9659,53
0.9422,54
0.8925,54
0.3716,55
0.7783,56
0.8402,61
0.9552,63
0.8834,64
0.9509,65
0.5106,66
0.9834,68
0.9269,68
0.9403,70
0.9699,71
0.8376,74
0.9707,75
0.5346,75
0.8807,77
0.8735,77
0.9524,77
0.9578,78
0.943,78
0.9538,80
0.9753,80
0.9366,81
0.9628,84
0.9128,85
0.9678,92
0.9895,93
0.8555,94
0.9329,96
0.9424,101
0.8979,106
-0.8521,108
0.9871,109
0.9584,112
0.9769,113
0.9442,124
0.9673,134
0.9932,137
0.9929,138
